策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_GMCTS,1201,味全,1,0.0,-0.112546,2096.0
F14_GMCTS,1227,佳格,1,0.0,-0.131661,285.0
F14_GMCTS,1301,台塑,1,1.0,0.908569,2049.0
F14_GMCTS,1313,聯成,1,0.0,-0.041299,209.0
F14_GMCTS,1319,東陽,1,1.0,0.658242,774.0
F14_GMCTS,1326,台化,1,1.0,0.449808,2212.0
F14_GMCTS,1402,遠東新,1,1.0,0.447338,1998.0
F14_GMCTS,1476,儒鴻,1,1.0,0.14246,214.0
F14_GMCTS,1477,聚陽,1,1.0,0.501837,244.0
F14_GMCTS,1504,東元,1,1.0,1.445941,1278.0
F14_GMCTS,1536,和大,1,0.0,-0.063369,782.0
F14_GMCTS,1565,精華,1,0.0,-0.047173,1893.0
F14_GMCTS,1710,東聯,1,1.0,0.584153,778.0
F14_GMCTS,1785,光洋科,1,1.0,0.245249,134.0
F14_GMCTS,1789,神隆,1,0.0,-0.236297,1601.0
F14_GMCTS,1909,榮成,1,1.0,0.071985,209.0
F14_GMCTS,2049,上銀,1,0.0,-0.136706,316.0
F14_GMCTS,2059,川湖,1,1.0,0.135068,1239.0
F14_GMCTS,2103,台橡,1,1.0,0.65065,1894.0
F14_GMCTS,2104,國際中橡,1,1.0,0.150001,780.0
F14_GMCTS,2105,正新,1,1.0,0.140808,984.0
F14_GMCTS,2106,建大,1,1.0,0.012301,1268.0
F14_GMCTS,2108,南帝,1,0.0,-0.048341,211.0
F14_GMCTS,2227,裕日車,1,0.0,-0.02145,11.0
F14_GMCTS,2317,鴻海,1,1.0,0.358121,1139.0
F14_GMCTS,2354,鴻準,1,1.0,0.078577,2461.0
F14_GMCTS,2362,藍天,1,0.0,-0.141797,2152.0
F14_GMCTS,2377,微星,1,1.0,0.62256,213.0
F14_GMCTS,2392,正崴,1,1.0,1.36218,1110.0
F14_GMCTS,2408,南亞科,1,1.0,0.617351,784.0
F14_GMCTS,2451,創見,1,1.0,0.376854,545.0
F14_GMCTS,2458,義隆,1,1.0,2.803693,1896.0
F14_GMCTS,2474,可成,1,1.0,3.138673,3112.0
F14_GMCTS,2492,華新科,1,1.0,0.191762,129.0
F14_GMCTS,2609,陽明,1,0.0,-0.071866,130.0
F14_GMCTS,2615,萬海,1,0.0,-0.216814,130.0
F14_GMCTS,2704,國賓,1,1.0,0.879474,2802.0
F14_GMCTS,2915,潤泰全,1,1.0,0.102077,2238.0
F14_GMCTS,3034,聯詠,1,1.0,0.617678,209.0
F14_GMCTS,3045,台灣大,1,1.0,0.10411,484.0
F14_GMCTS,3105,穩懋,1,0.0,-0.161459,252.0
F14_GMCTS,3406,玉晶光,1,0.0,-0.056329,295.0
F14_GMCTS,3665,貿聯-KY,1,1.0,0.83086,1153.0
F14_GMCTS,3673,TPK-KY,1,0.0,-0.227241,1158.0
F14_GMCTS,3702,大聯大,1,1.0,1.324166,2083.0
F14_GMCTS,4105,東洋,1,1.0,0.978516,2087.0
F14_GMCTS,4123,晟德,1,1.0,0.20169,906.0
F14_GMCTS,4915,致伸,1,1.0,0.697056,686.0
F14_GMCTS,4938,和碩,1,1.0,0.896022,1019.0
F14_GMCTS,4958,臻鼎-KY,1,1.0,1.040374,1272.0
F14_GMCTS,4966,譜瑞-KY,1,1.0,0.346642,129.0
F14_GMCTS,5347,世界,1,1.0,0.256408,213.0
F14_GMCTS,5530,龍巖,1,0.0,-0.146006,1723.0
F14_GMCTS,5904,寶雅,1,1.0,0.310261,192.0
F14_GMCTS,6121,新普,1,1.0,1.686195,2421.0
F14_GMCTS,6147,頎邦,1,1.0,0.149837,387.0
F14_GMCTS,6213,聯茂,1,0.0,-0.241666,254.0
F14_GMCTS,6269,台郡,1,1.0,1.518637,2092.0
F14_GMCTS,6285,啟碁,1,1.0,0.343104,1029.0
F14_GMCTS,6456,GIS-KY,1,0.0,-0.235383,429.0
F14_GMCTS,6505,台塑化,1,1.0,0.547174,2235.0
F14_GMCTS,8016,矽創,1,1.0,0.376532,208.0
F14_GMCTS,8299,群聯,1,1.0,3.784811,3113.0
F14_GMCTS,8436,大江,1,0.0,-0.125725,616.0
F14_GMCTS,8464,億豐,1,1.0,0.109146,256.0
F14_GMCTS,9938,百和,1,1.0,0.166323,773.0
F14_MCTS1,1104,環泥,1,1.0,0.731632,1019.0
F14_MCTS1,1301,台塑,1,1.0,1.000354,2090.0
F14_MCTS1,1312,國喬,1,1.0,0.082859,970.0
F14_MCTS1,1319,東陽,1,1.0,0.701568,775.0
F14_MCTS1,1326,台化,1,0.0,-0.122002,442.0
F14_MCTS1,1402,遠東新,1,1.0,0.715998,1658.0
F14_MCTS1,1504,東元,1,1.0,0.847517,442.0
F14_MCTS1,1789,神隆,1,0.0,-0.146311,1175.0
F14_MCTS1,2204,中華,1,1.0,2.862346,1843.0
F14_MCTS1,2323,中環,1,1.0,0.661306,2814.0
F14_MCTS1,2354,鴻準,1,1.0,0.054379,2491.0
F14_MCTS1,2474,可成,1,1.0,0.126843,621.0
F14_MCTS1,2489,瑞軒,1,1.0,0.480874,988.0
F14_MCTS1,2492,華新科,1,1.0,18.247075,2580.0
F14_MCTS1,2601,益航,1,1.0,0.065079,129.0
F14_MCTS1,2915,潤泰全,1,1.0,0.11705,2245.0
F14_MCTS1,3005,神基,1,1.0,0.883083,130.0
F14_MCTS1,3706,神達,1,1.0,0.193794,129.0
F14_MCTS1,4938,和碩,1,1.0,0.882682,961.0
F14_MCTS1,4958,臻鼎-KY,1,1.0,1.040374,1272.0
F14_MCTS1,5347,世界,1,1.0,0.203807,192.0
F14_MCTS1,6147,頎邦,1,1.0,0.149837,387.0
F14_MCTS1,6505,台塑化,1,1.0,0.592429,2252.0
F14_MCTS1,9945,潤泰新,1,1.0,1.269194,2246.0
F14_MCTS10,1101,台泥,1,0.0,-0.20675,396.0
F14_MCTS10,1110,東泥,1,0.0,-0.020375,15.0
F14_MCTS10,1227,佳格,1,0.0,-0.004686,131.0
F14_MCTS10,1301,台塑,1,0.0,-0.055005,362.0
F14_MCTS10,1303,南亞,1,1.0,1.789319,288.0
F14_MCTS10,1304,台聚,1,1.0,0.312639,277.0
F14_MCTS10,1305,華夏,1,1.0,0.348783,290.0
F14_MCTS10,1308,亞聚,1,1.0,0.192756,277.0
F14_MCTS10,1312,國喬,1,1.0,0.218241,240.0
F14_MCTS10,1313,聯成,1,1.0,0.437957,240.0
F14_MCTS10,1314,中石化,1,1.0,0.086287,218.0
F14_MCTS10,1326,台化,1,1.0,0.785839,172.0
F14_MCTS10,1402,遠東新,1,0.0,-0.038923,86.0
F14_MCTS10,1409,新纖,1,1.0,0.321357,230.0
F14_MCTS10,1434,福懋,1,0.0,-0.226169,485.0
F14_MCTS10,1440,南紡,1,1.0,0.06032,230.0
F14_MCTS10,1447,力鵬,1,0.0,-0.144488,182.0
F14_MCTS10,1710,東聯,1,1.0,0.028315,240.0
F14_MCTS10,1718,中纖,1,1.0,0.092735,218.0
F14_MCTS10,1789,神隆,1,0.0,-0.037938,282.0
F14_MCTS10,1909,榮成,1,0.0,-0.001146,216.0
F14_MCTS10,2103,台橡,1,0.0,-0.112156,488.0
F14_MCTS10,2104,國際中橡,1,1.0,0.104587,230.0
F14_MCTS10,2105,正新,1,1.0,0.019401,2.0
F14_MCTS10,2106,建大,1,0.0,-0.236363,221.0
F14_MCTS10,2395,研華,1,1.0,0.059984,162.0
F14_MCTS10,2912,統一超,1,1.0,0.03206,8.0
F14_MCTS10,3045,台灣大,1,1.0,0.084063,407.0
F14_MCTS10,4958,臻鼎-KY,1,1.0,1.858519,240.0
F14_MCTS10,5347,世界,1,1.0,0.526991,229.0
F14_MCTS10,5871,中租-KY,1,0.0,-0.039851,247.0
F14_MCTS10,6147,頎邦,1,1.0,0.592939,379.0
F14_MCTS10,6282,康舒,1,1.0,0.468057,382.0
F14_MCTS10,6505,台塑化,1,1.0,0.407641,253.0
F14_MCTS10,9904,寶成,1,0.0,-0.059144,226.0
F14_MCTS10,9910,豐泰,1,0.0,-0.425185,394.0
F14_MCTS11,1101,台泥,1,0.0,-0.17258,282.0
F14_MCTS11,1201,味全,1,0.0,-0.238224,272.0
F14_MCTS11,1227,佳格,1,0.0,-0.180717,381.0
F14_MCTS11,1301,台塑,1,1.0,0.094972,329.0
F14_MCTS11,1304,台聚,1,1.0,0.109396,359.0
F14_MCTS11,1305,華夏,1,1.0,0.619391,197.0
F14_MCTS11,1308,亞聚,1,1.0,0.06003,324.0
F14_MCTS11,1310,台苯,1,0.0,-0.199684,464.0
F14_MCTS11,1313,聯成,1,0.0,-0.026638,432.0
F14_MCTS11,1440,南紡,1,0.0,-0.052616,248.0
F14_MCTS11,1464,得力,1,0.0,-0.168769,207.0
F14_MCTS11,1476,儒鴻,1,0.0,-0.330554,262.0
F14_MCTS11,1590,亞德客-KY,1,1.0,0.631597,244.0
F14_MCTS11,1707,葡萄王,1,0.0,-0.110355,384.0
F14_MCTS11,1710,東聯,1,0.0,-0.039975,312.0
F14_MCTS11,1789,神隆,1,0.0,-0.084591,329.0
F14_MCTS11,1909,榮成,1,0.0,-0.015748,35.0
F14_MCTS11,2034,允強,1,0.0,-0.064181,404.0
F14_MCTS11,2049,上銀,1,1.0,0.235768,382.0
F14_MCTS11,2103,台橡,1,1.0,0.061295,166.0
F14_MCTS11,2104,國際中橡,1,0.0,-0.278879,389.0
F14_MCTS11,2207,和泰車,1,0.0,-0.086755,55.0
F14_MCTS11,2395,研華,1,1.0,0.061611,243.0
F14_MCTS11,2439,美律,1,0.0,-0.007688,244.0
F14_MCTS11,2441,超豐,1,1.0,0.894011,235.0
F14_MCTS11,2474,可成,1,1.0,0.042244,243.0
F14_MCTS11,2608,嘉里大榮,1,0.0,-0.176354,404.0
F14_MCTS11,2617,台航,1,1.0,0.258247,243.0
F14_MCTS11,2701,萬企,1,0.0,-0.130217,382.0
F14_MCTS11,2912,統一超,1,0.0,-0.016066,86.0
F14_MCTS11,3008,大立光,1,1.0,0.076717,183.0
F14_MCTS11,3045,台灣大,1,1.0,0.084063,407.0
F14_MCTS11,4123,晟德,1,1.0,0.263467,243.0
F14_MCTS11,4915,致伸,1,1.0,0.266366,244.0
F14_MCTS11,4966,譜瑞-KY,1,0.0,-0.031027,38.0
F14_MCTS11,5269,祥碩,1,0.0,-0.332093,337.0
F14_MCTS11,5347,世界,1,1.0,0.654037,245.0
F14_MCTS11,5388,中磊,1,0.0,-0.099559,226.0
F14_MCTS11,5871,中租-KY,1,0.0,-0.196055,429.0
F14_MCTS11,5903,全家,1,0.0,-0.035565,221.0
F14_MCTS11,5904,寶雅,1,1.0,0.12358,326.0
F14_MCTS11,6146,耕興,1,0.0,-0.019394,342.0
