策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_GMCTS,1101,,1,1.0,1.175413,1072.0
F14_GMCTS,1102,,1,1.0,0.338349,1228.0
F14_GMCTS,1104,,1,1.0,1.316761,470.0
F14_GMCTS,1210,,1,1.0,0.809472,1074.0
F14_GMCTS,1303,,1,1.0,0.985164,1686.0
F14_GMCTS,1304,,1,1.0,0.466533,1437.0
F14_GMCTS,1308,,1,1.0,1.008066,533.0
F14_GMCTS,1312,,1,1.0,1.093817,806.0
F14_GMCTS,1313,,2,1.0,1.2707115,608.5
F14_GMCTS,1314,,1,1.0,0.896844,313.0
F14_GMCTS,1319,,1,1.0,1.388061,282.0
F14_GMCTS,1409,,1,1.0,0.554705,589.0
F14_GMCTS,1434,,1,1.0,0.460091,1098.0
F14_GMCTS,1440,,1,1.0,0.794964,203.0
F14_GMCTS,1447,,1,1.0,0.406025,1394.0
F14_GMCTS,1503,,1,1.0,0.732372,1829.0
F14_GMCTS,1590,,1,1.0,6.091349,1257.0
F14_GMCTS,1704,,1,0.0,-0.516851,74.0
F14_GMCTS,1710,,1,1.0,0.230182,596.0
F14_GMCTS,1714,,1,1.0,0.638774,1099.0
F14_GMCTS,1717,,1,1.0,0.278283,296.0
F14_GMCTS,1718,,1,1.0,0.496192,1240.0
F14_GMCTS,1722,,1,1.0,0.170334,1575.0
F14_GMCTS,1802,,1,0.0,-0.512451,201.0
F14_GMCTS,1907,,1,1.0,1.712546,1193.0
F14_GMCTS,2002,,1,1.0,0.826222,1752.0
F14_GMCTS,2006,,1,1.0,0.917879,1429.0
F14_GMCTS,2010,,1,1.0,0.641977,203.0
F14_GMCTS,2014,,1,1.0,4.145,427.0
F14_GMCTS,2049,,1,1.0,2.766575,566.0
F14_GMCTS,2101,,1,1.0,1.030759,382.0
F14_GMCTS,2103,,1,0.0,-0.459649,202.0
F14_GMCTS,2104,,1,1.0,1.663762,1653.0
F14_GMCTS,2201,,1,0.0,-0.164255,1090.0
F14_GMCTS,2207,,1,1.0,1.018666,658.0
F14_GMCTS,2231,,1,0.0,-0.50398,335.0
F14_GMCTS,2303,,1,1.0,0.485817,549.0
F14_GMCTS,2308,,2,1.0,1.1678765,612.0
F14_GMCTS,2317,,1,1.0,1.946615,1484.0
F14_GMCTS,2324,,1,1.0,0.427573,2375.0
F14_GMCTS,2330,,1,1.0,0.80586,476.0
F14_GMCTS,2332,,1,1.0,0.520004,549.0
F14_GMCTS,2337,,1,0.0,-0.519631,960.0
F14_GMCTS,2340,,1,1.0,0.925406,1026.0
F14_GMCTS,2345,,1,1.0,1.264862,158.0
F14_GMCTS,2347,,1,1.0,0.400824,1787.0
F14_GMCTS,2353,,1,0.0,-0.500903,542.0
F14_GMCTS,2356,,1,1.0,1.379404,532.0
F14_GMCTS,2357,,1,1.0,0.851636,1356.0
F14_GMCTS,2363,,1,1.0,0.149095,107.0
F14_GMCTS,2367,,1,1.0,1.35441,1356.0
F14_GMCTS,2368,,1,1.0,0.362278,729.0
F14_GMCTS,2374,,1,0.0,-0.53371,2067.0
F14_GMCTS,2382,,2,1.0,0.7517105,832.0
F14_GMCTS,2385,,1,1.0,2.266511,2291.0
F14_GMCTS,2392,,1,0.0,-0.496954,787.0
F14_GMCTS,2393,,2,0.5,0.04814199999999996,877.5
F14_GMCTS,2401,,1,1.0,1.505888,602.0
F14_GMCTS,2409,,1,1.0,1.087432,2379.0
F14_GMCTS,2448,,2,0.5,-0.027830999999999995,1050.0
F14_GMCTS,2451,,1,1.0,1.032144,1109.0
F14_GMCTS,2454,,1,1.0,2.083555,2127.0
F14_GMCTS,2485,,1,1.0,0.587847,1202.0
F14_GMCTS,2498,,2,0.0,-0.523116,991.5
